title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
We Gonna Take U Back (Lude) / Don't Leave Me,Blackstreet,0.794,0.589,2.0,-4.48,0.0,0.0395,0.0778,0.0,0.249,0.672,81.821,audio_features,13oGc1Mi9niBlo5eTmgGMa,spotify:track:13oGc1Mi9niBlo5eTmgGMa,https://api.spotify.com/v1/tracks/13oGc1Mi9niBlo5eTmgGMa,https://api.spotify.com/v1/audio-analysis/13oGc1Mi9niBlo5eTmgGMa,317160.0,4.0
Joy,Blackstreet,0.661,0.493,8.0,-8.485,0.0,0.0326,0.217,0.0,0.0664,0.201,95.021,audio_features,08TTz3bxSStwQKxZ8bEJ8C,spotify:track:08TTz3bxSStwQKxZ8bEJ8C,https://api.spotify.com/v1/tracks/08TTz3bxSStwQKxZ8bEJ8C,https://api.spotify.com/v1/audio-analysis/08TTz3bxSStwQKxZ8bEJ8C,295800.0,4.0
Don't Leave Me,Blackstreet,0.791,0.585,2.0,-4.609,0.0,0.0346,0.0817,0.0,0.0775,0.732,81.809,audio_features,6ZQSvQh5wb2M5AaEaoymMY,spotify:track:6ZQSvQh5wb2M5AaEaoymMY,https://api.spotify.com/v1/tracks/6ZQSvQh5wb2M5AaEaoymMY,https://api.spotify.com/v1/audio-analysis/6ZQSvQh5wb2M5AaEaoymMY,310867.0,4.0
No Diggity - Radio Version,Blackstreet,0.851,0.659,1.0,-5.107,0.0,0.241,0.339,0.0,0.0928,0.703,88.708,audio_features,0fylOXF4S9d7p6aiWrHHX6,spotify:track:0fylOXF4S9d7p6aiWrHHX6,https://api.spotify.com/v1/tracks/0fylOXF4S9d7p6aiWrHHX6,https://api.spotify.com/v1/audio-analysis/0fylOXF4S9d7p6aiWrHHX6,248040.0,4.0
Deep,Blackstreet,0.556,0.628,6.0,-4.435,0.0,0.0717,0.408,0.0,0.384,0.297,111.173,audio_features,3Rm951GnrOHPD0ooZZfPJn,spotify:track:3Rm951GnrOHPD0ooZZfPJn,https://api.spotify.com/v1/tracks/3Rm951GnrOHPD0ooZZfPJn,https://api.spotify.com/v1/audio-analysis/3Rm951GnrOHPD0ooZZfPJn,262440.0,4.0
Enjoy the Silence,Depeche Mode,0.626,0.667,0.0,-11.817,0.0,0.0283,0.209,0.000257,0.0779,0.83,112.776,audio_features,4wGSg2Qqpt2sGCWuAZj6EN,spotify:track:4wGSg2Qqpt2sGCWuAZj6EN,https://api.spotify.com/v1/tracks/4wGSg2Qqpt2sGCWuAZj6EN,https://api.spotify.com/v1/audio-analysis/4wGSg2Qqpt2sGCWuAZj6EN,257631.0,4.0
Enjoy the Silence - 2006 Remaster,Depeche Mode,0.38,0.591,0.0,-11.966,0.0,0.0321,0.348,0.0146,0.127,0.22,113.003,audio_features,1EjQRTG53jsinzk2xlVVJP,spotify:track:1EjQRTG53jsinzk2xlVVJP,https://api.spotify.com/v1/tracks/1EjQRTG53jsinzk2xlVVJP,https://api.spotify.com/v1/audio-analysis/1EjQRTG53jsinzk2xlVVJP,372813.0,4.0
Just Can't Get Enough - 2006 Remaster,Depeche Mode,0.765,0.766,0.0,-9.374,1.0,0.0348,0.41,0.052,0.177,0.923,128.177,audio_features,0xuXRQJfxmdP6gvfDe2Z4L,spotify:track:0xuXRQJfxmdP6gvfDe2Z4L,https://api.spotify.com/v1/tracks/0xuXRQJfxmdP6gvfDe2Z4L,https://api.spotify.com/v1/audio-analysis/0xuXRQJfxmdP6gvfDe2Z4L,222760.0,4.0
People Are People,Depeche Mode,0.693,0.883,9.0,-4.591,0.0,0.0665,0.0541,0.0,0.267,0.855,119.86,audio_features,10lhgbBD8NRUnN8iQpQpKS,spotify:track:10lhgbBD8NRUnN8iQpQpKS,https://api.spotify.com/v1/tracks/10lhgbBD8NRUnN8iQpQpKS,https://api.spotify.com/v1/audio-analysis/10lhgbBD8NRUnN8iQpQpKS,223733.0,4.0
Policy of Truth - 2006 Remaster,Depeche Mode,0.678,0.657,8.0,-7.3,1.0,0.028,0.00933,0.225,0.118,0.358,114.209,audio_features,0C6EIiQu8CS4eYtOCMEiAd,spotify:track:0C6EIiQu8CS4eYtOCMEiAd,https://api.spotify.com/v1/tracks/0C6EIiQu8CS4eYtOCMEiAd,https://api.spotify.com/v1/audio-analysis/0C6EIiQu8CS4eYtOCMEiAd,294040.0,4.0
Personal Jesus - 2006 Remaster,Depeche Mode,0.679,0.741,11.0,-7.596,1.0,0.0494,0.134,0.207,0.0985,0.363,130.033,audio_features,7dhM0KUBxuZV9z5iNodLyn,spotify:track:7dhM0KUBxuZV9z5iNodLyn,https://api.spotify.com/v1/tracks/7dhM0KUBxuZV9z5iNodLyn,https://api.spotify.com/v1/audio-analysis/7dhM0KUBxuZV9z5iNodLyn,294773.0,4.0
World in My Eyes - 2006 Remaster,Depeche Mode,0.66,0.881,10.0,-7.802,0.0,0.0417,0.00746,0.827,0.0514,0.952,122.243,audio_features,70B5oP5ng1QYClkJ9CeWly,spotify:track:70B5oP5ng1QYClkJ9CeWly,https://api.spotify.com/v1/tracks/70B5oP5ng1QYClkJ9CeWly,https://api.spotify.com/v1/audio-analysis/70B5oP5ng1QYClkJ9CeWly,267040.0,4.0
Personal Jesus - Original Single Version,Depeche Mode,0.637,0.682,11.0,-11.625,1.0,0.0366,0.0112,0.0234,0.0473,0.714,129.983,audio_features,1xShPgQbOUa98avWJQFDBY,spotify:track:1xShPgQbOUa98avWJQFDBY,https://api.spotify.com/v1/tracks/1xShPgQbOUa98avWJQFDBY,https://api.spotify.com/v1/audio-analysis/1xShPgQbOUa98avWJQFDBY,224907.0,4.0
Never Let Me Down Again - 2006 Remaster,Depeche Mode,0.581,0.886,0.0,-6.505,1.0,0.0324,0.279,0.0297,0.691,0.586,106.067,audio_features,2H1BmB1b6Px9KJXIUpD03u,spotify:track:2H1BmB1b6Px9KJXIUpD03u,https://api.spotify.com/v1/tracks/2H1BmB1b6Px9KJXIUpD03u,https://api.spotify.com/v1/audio-analysis/2H1BmB1b6Px9KJXIUpD03u,290493.0,4.0
Enjoy the Silence - Single Mix,Depeche Mode,0.641,0.812,0.0,-7.945,0.0,0.0293,0.155,4.43e-05,0.078,0.822,112.777,audio_features,1YwNlWLf8auhazSQUDQLFU,spotify:track:1YwNlWLf8auhazSQUDQLFU,https://api.spotify.com/v1/tracks/1YwNlWLf8auhazSQUDQLFU,https://api.spotify.com/v1/audio-analysis/1YwNlWLf8auhazSQUDQLFU,257333.0,4.0
One Kiss (with Dua Lipa),Calvin Harris,0.791,0.862,9.0,-3.24,0.0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,audio_features,7ef4DlsgrMEH11cDZd32M6,spotify:track:7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/tracks/7ef4DlsgrMEH11cDZd32M6,https://api.spotify.com/v1/audio-analysis/7ef4DlsgrMEH11cDZd32M6,214847.0,4.0
Summer,Calvin Harris,0.596,0.856,4.0,-3.556,0.0,0.0346,0.0211,0.0178,0.141,0.743,127.949,audio_features,6YUTL4dYpB9xZO5qExPf05,spotify:track:6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/tracks/6YUTL4dYpB9xZO5qExPf05,https://api.spotify.com/v1/audio-analysis/6YUTL4dYpB9xZO5qExPf05,222533.0,4.0
Feel So Close - Radio Edit,Calvin Harris,0.707,0.924,7.0,-2.842,1.0,0.031,0.000972,0.00703,0.204,0.919,127.937,audio_features,1gihuPhrLraKYrJMAEONyc,spotify:track:1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/tracks/1gihuPhrLraKYrJMAEONyc,https://api.spotify.com/v1/audio-analysis/1gihuPhrLraKYrJMAEONyc,206413.0,4.0
Slide (feat. Frank Ocean & Migos),Calvin Harris,0.736,0.795,1.0,-3.299,0.0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,audio_features,6gpcs5eMhJwax4mIfKDYQk,spotify:track:6gpcs5eMhJwax4mIfKDYQk,https://api.spotify.com/v1/tracks/6gpcs5eMhJwax4mIfKDYQk,https://api.spotify.com/v1/audio-analysis/6gpcs5eMhJwax4mIfKDYQk,230813.0,4.0
